K,startSec,endSec,key
1,2,28,Dmoll
2,30,42,Gdur
2,55,72,Ddur
2,125,133,Gdur
3,0,8,Amoll
3,40,48,Cdur
3,141,148,Amoll
4,0,10,Gmoll
4,99,140,Gmoll
5,0,10,Dmoll
5,11,40,Fdur
5,83,122,Dmoll
6,0,19,Fdur
7,0,11,Amoll
7,43,58,Cdur
7,216,250,Amoll
8,38,49,Ddur
9,7,37,Fdur
10,91,106,Dmoll
11,66,99,Cmoll
12,11,46,Dmoll
12,182,202,Gmoll
13,0,19,Gdur
13,33,60,Ddur
13,122,141,Ddur
13,172,189,Gdur
14,0,12,Gdur
14,119,135,Gdur
15,151,182,Emoll
16,0,19,Bdur
16,20,27,Cdur
16,28,37,Fdur
16,39,54,Fmoll
16,55,67,Fdur
16,138,146,Fdur
16,147,154,Cmoll
16,155,158,Fdur
16,159,172,Bdur
16,173,183,Bmoll
16,184,197,Bdur
17,0,24,Fdur
17,26,39,Cmoll
17,41,50,Cdur
17,102,113,Cdur
17,119,126,Amoll
17,138,141,Fdur
17,143,149,Fmoll
17,151,174,Fdur
18,0,8,Dmoll
18,36,55,Amoll
18,136,158,Dmoll
19,0,14,Fmoll
19,16,46,Asdur
19,131,161,Fmoll
20,0,15,Edur
20,17,21,Emoll
20,93,101,Hdur
20,139,152,Edur
21,43,70,Adur
21,190,220,Ddur
22,23,40,Gmoll
22,112,129,Cmoll
23,45,68,Adur
23,198,209,Ddur
24,44,53,Edur
24,55,66,Hmoll
24,68,78,Edur
24,173,180,Adur
24,209,228,Adur
25,0,16,Fismoll
25,18,28,Cismoll
25,35,41,Cisdur
25,43,45,Gismoll
25,47,51,Cismoll
25,107,112,Fismoll
25,131,156,Fismoll
26,0,11,Adur
26,25,56,Emoll
26,153,179,Adur
27,0,10,Hmoll
27,17,53,Ddur
27,118,129,Fismoll
27,138,175,Hmoll
28,0,11,Edur
28,34,45,Hdur
28,136,150,Edur
29,0,9,Ddur
29,11,29,Adur
29,43,57,Adur
29,58,66,Amoll
29,68,96,Adur
29,197,212,Ddur
29,213,221,Dmoll
29,250,272,Ddur
31,1,14,Gmoll
31,33,36,Bdur
31,43,57,Dmoll
31,117,122,Bdur
31,129,131,Esdur
31,133,138,Cmoll
31,146,160,Gmoll
31,174,180,Gmoll
33,36,50,Amoll
33,52,61,Adur
33,149,154,Dmoll
33,160,169,Ddur
34,0,36,Dmoll
36,0,13,Amoll
36,15,25,Cdur
36,31,37,Cdur
36,79,89,Dmoll
36,91,94,Amoll
36,105,117,Amoll
37,7,27,Cmoll
37,45,59,Gmoll
